Q1: Age group (Ordinal);Q2: Gender (Nominal);Q3: Country (Nominal);Q4: Organisation size (employees) (Ordinal);Q5: Industry (Nominal);Q6: Years of active investment experience (Ratio);Q7: Investor acquisition events attended (past 2 yrs) (Ratio);Q8: Typical single deal size considered (Ratio);Q9: Follow-up meetings planned from today's event (Ratio);Q10: Overall satisfaction with this event (Ordinal);Q11: Relevance of deal flow to investment strategy (Ordinal);Q12: Quality of networking opportunities (Ordinal);Q13: Likelihood to recommend this event to a peer (Ordinal);Q14: Preferred format for future events (Nominal);Q15: Additional investors from your network you might invite (Ratio);Q16: How would you describe the atmosphere of this event? (Text);Q17: How do you assess the probability of successful acquisitions resulting from this event? (Text);Q18: What would motivate you to participate in a future edition of this event? (Text)
40 - 49;Male;Netherlands;250 - 999 (large);Healthcare / Life Sciences;14;5;1150;0;2;3;2;2;Hybrid (in-person + virtual);1;Rather underwhelming. The venue was too large for the number of participants, which made the event feel sparse and impersonal.;I see limited probability of a successful acquisition. The companies presented were either outside our investment stage or had unrealistic valuations.;A complete overhaul of the presentation format is needed. Shorter pitches and more Q&A time would make the sessions more useful.
40 - 49;Male;Germany;50 - 249 (medium);Manufacturing / Industry;13;3;300;3;3;2;1;4;In-person only;1;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;Moderate probability overall. A couple of companies are interesting but require further due diligence before I can assess seriously.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
30 - 39;Male;Germany;250 - 999 (large);Financial Services;8;2;1350;1;4;2;4;3;Fully virtual;3;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;There is potential but also significant uncertainty. I would estimate a 30 to 40 percent chance of one deal moving forward.;I am open to returning. Better on-site facilitation and a networking app would help maximise the value of the event.
50 - 59;Female;Netherlands;1 - 9 (micro);Energy / Cleantech;11;3;900;3;3;2;4;3;In-person only;1;Reasonably well-organised with a standard conference atmosphere. Some sessions were more engaging than others.;Moderate probability overall. A couple of companies are interesting but require further due diligence before I can assess seriously.;If the topic areas align with our fund's focus in the next cycle I would consider attending again.
30 - 39;Non-binary / gender diverse;United Kingdom;1,000+ (enterprise);Healthcare / Life Sciences;16;3;50;2;4;5;4;5;Fully virtual;3;The atmosphere was vibrant and welcoming. Conversations flowed naturally and the venue created an ideal setting for meaningful exchanges.;Optimistic about outcomes. The quality of the deal flow was high and I had two conversations that could realistically lead to term sheets within the quarter.;The event is already compelling. A slightly longer networking window and better materials from companies would make it unmissable.
30 - 39;Male;Switzerland;1 - 9 (micro);Manufacturing / Industry;8;5;1850;1;2;2;2;3;No preference;2;Disappointing ambiance. The noise level in the networking area made it nearly impossible to have focused conversations.;Unfortunately not very promising. The deal flow did not align well with our sector focus and the financials on most companies were not compelling.;For me to return, the event would need to be shorter and more focused. The current format covers too many industries superficially.
40 - 49;Male;Germany;250 - 999 (large);Energy / Cleantech;11;2;50;1;2;2;3;3;Hybrid (in-person + virtual);3;A functional and professional setting. The atmosphere was neutral — neither especially inspiring nor off-putting.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
40 - 49;Male;Germany;10 - 49 (small);Manufacturing / Industry;24;1;50;3;3;2;3;3;In-person only;0;A functional and professional setting. The atmosphere was neutral — neither especially inspiring nor off-putting.;Mixed impressions. Some deals could progress if the companies address specific concerns I raised during our conversations.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
50 - 59;Male;Other EU;50 - 249 (medium);Healthcare / Life Sciences;10;0;1100;6;3;4;5;4;Fully virtual;4;Inspiring and dynamic. The mix of experienced investors and ambitious founders created a productive tension that I found energising.;Good prospects for at least one acquisition. The level of preparation from the founders was impressive and valuations seemed reasonable.;The event is already compelling. A slightly longer networking window and better materials from companies would make it unmissable.
40 - 49;Male;Germany;1 - 9 (micro);Technology / Software;13;3;1000;1;3;3;2;4;In-person only;2;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;Mixed impressions. Some deals could progress if the companies address specific concerns I raised during our conversations.;Possibly, depending on the presenting companies. More transparency about the pipeline before registration would help me decide.
30 - 39;Male;Germany;10 - 49 (small);Technology / Software;19;6;650;0;1;3;1;1;Hybrid (in-person + virtual);1;The atmosphere lacked direction. Without a clear facilitation structure the networking time quickly became unproductive.;The probability feels low. While some founders were impressive, the valuations asked were significantly above what the traction justified.;I would only return if the networking format was redesigned. Open mingling does not work well for serious investors with specific mandates.
40 - 49;Prefer not to say;France;50 - 249 (medium);Manufacturing / Industry;11;3;1100;3;4;2;3;4;No preference;3;The atmosphere was adequate for this type of event. Nothing particularly stood out but the basics were covered.;It is too early to say. I had some promising conversations but need to review the materials shared before making a judgment.;I would return if a colleague recommended it and if the industries represented shifted more towards our current portfolio strategy.
40 - 49;Non-binary / gender diverse;Switzerland;10 - 49 (small);Technology / Software;14;3;1600;1;2;2;3;4;In-person only;2;Decent overall. The venue was suitable and the atmosphere was professional, though perhaps a bit formal for my taste.;Reasonable but not exceptional deal flow. One or two companies merit a follow-up but are not yet at the stage we prefer.;A clearer breakdown of attending companies shared in advance would help me prepare and justify the time investment.
40 - 49;Male;Germany;50 - 249 (medium);Consumer Goods;23;1;1050;4;3;3;5;5;In-person only;3;Excellent energy throughout the day. The organisers clearly curated the guest list carefully, which made every interaction feel purposeful.;Good prospects for at least one acquisition. The level of preparation from the founders was impressive and valuations seemed reasonable.;I would come back for the calibre of attendees alone. Adding a pre-event matchmaking tool would make the experience even more valuable.
40 - 49;Male;United States;1,000+ (enterprise);Financial Services;2;1;1200;5;4;4;4;4;Fully virtual;3;Warm and collaborative spirit throughout. I felt comfortable approaching anyone, which is a sign of excellent event design.;Very promising. One company in particular aligned perfectly with our portfolio strategy and I intend to arrange a deeper due diligence meeting next week.;Continuing with the same high quality of curated companies and investors would ensure my participation in the next edition.
